1000000;46140;24;1107367;;;;;;;;;;;;;6763;563;;x
1000000;37868;36;1164707;;;;;;;;;;;;;6763;563;;x
1000000;29596;48;1222047;;;;;;;;;;;;;6763;563;;x
1000000;21323;60;1279386;;;;;;;;;;;;;6763;563;;x
1000000;13051;72;1336726;;;;;;;;;;;;;6763;563;;x
1000000;16596;84;1394065;;;;;;;;;;;;;6763;563;;x
;;;;;;;;;;;;;;;;;;;
1400000;64596;24;1550314;;;;;;;;;;;;;6763;563;;x
1400000;56324;36;1630590;;;;;;;;;;;;;6763;563;;x
1400000;48052;48;1710865;;;;;;;;;;;;;6763;563;;x
1400000;39779;60;1791141;;;;;;;;;;;;;6763;563;;x
1400000;31507;72;1871416;;;;;;;;;;;;;6763;563;;x
1400000;23234;84;1951692;;;;;;;;;;;;;6763;563;;x
;;;;;;;;;;;;;;;;;;;
1800000;75000;24;1993261;;;;;;;;;;;;;6763;563;;x
1800000;65975;36;2096473;;;;;;;;;;;;;6763;563;;x
1800000;56949;48;2199684;;;;;;;;;;;;;6763;563;;x
1800000;47924;60;2302895;;;;;;;;;;;;;6763;563;;x
1800000;38898;72;2406107;;;;;;;;;;;;;6763;563;;x
1800000;29873;84;2509318;;;;;;;;;;;;;6763;563;;x
;;;;;;;;;;;;;;;;;;;
2200000;101509;24;2436208;;;;;;;;;;;;;6763;563;;x
2200000;88509;36;2562356;;;;;;;;;;;;;6763;563;;x
2200000;75510;48;2688503;;;;;;;;;;;;;6763;563;;x
2200000;62510;60;2814650;;;;;;;;;;;;;6763;563;;x
2200000;49511;72;2940797;;;;;;;;;;;;;6763;563;;x
2200000;36511;84;3066944;;;;;;;;;;;;;6763;563;;x
;;;;;;;;;;;;;;;;;;;
2600000;119965;24;2879155;;;;;;;;;;;;;6763;563;;x
2600000;104602;36;3028238;;;;;;;;;;;;;6763;563;;x
2600000;89239;48;3177321;;;;;;;;;;;;;6763;563;;x
2600000;73876;60;3326404;;;;;;;;;;;;;6763;563;;x
2600000;58513;72;3475487;;;;;;;;;;;;;6763;563;;x
2600000;43150;84;3624570;;;;;;;;;;;;;6763;563;;x
;;;;;;;;;;;;;;;;;;;
3000000;138421;24;3322102;;;;;;;;;;;;;6763;563;;x
3000000;120694;36;3494121;;;;;;;;;;;;;6763;563;;x
3000000;102968;48;3666140;;;;;;;;;;;;;6763;563;;x
3000000;85241;60;3838159;;;;;;;;;;;;;6763;563;;x
3000000;67515;72;4010178;;;;;;;;;;;;;6763;563;;x
3000000;49788;84;4182196;;;;;;;;;;;;;6763;563;;